merchant_id,merchant_name,sector,onboarded_month,churn_month,status
M-0001,Falconer Goods,Online,2026-01,,Active
M-0002,Fenwick Training,Services,2024-01,2025-08,Churned
M-0003,Ravensworth Bistro,Hospitality,2021-11,,Active
M-0004,Marlin Coffee Co,Hospitality,2025-05,,Active
M-0005,Silverton Goods,Online,2021-06,,Active
M-0006,Westcliff Stores,Retail,2024-02,2025-06,Churned
M-0007,Ravensworth Charters,Travel,2024-08,,Active
M-0008,Longacre Outfitters,Retail,2021-12,,Active
M-0009,Cedarfield Home & Garden,Retail,2022-05,,Active
M-0010,Marlin Eatery,Hospitality,2026-01,,Active
M-0011,Fenwick Supplies,Retail,2025-06,,Active
M-0012,Millbrook Direct,Online,2024-02,,Active
M-0013,Ashdown Home & Garden,Retail,2025-05,,Active
M-0014,Wychwood Online,Online,2025-07,,Active
M-0015,Silverton Bistro,Hospitality,2025-12,,Active
M-0016,Harborne Trading,Retail,2021-12,2025-03,Churned
M-0017,Stanmore Direct,Online,2025-02,,Active
M-0018,Thistledown Digital,Online,2023-07,,Active
M-0019,Kingfisher Digital,Online,2026-05,,Active
M-0020,Norbury Eatery,Hospitality,2022-10,,Active
M-0021,Brightwell Motors,Services,2025-02,,Active
M-0022,Redgrave Home & Garden,Retail,2022-11,,Active
M-0023,Harborne Charters,Travel,2024-03,,Active
M-0024,Stanmore Kitchen,Hospitality,2025-06,,Active
M-0025,Stanmore Taproom,Hospitality,2026-05,,Active
M-0026,Westcliff Supplies,Retail,2025-10,,Active
M-0027,Millbrook Taproom,Hospitality,2021-05,,Active
M-0028,Norbury Kitchen,Hospitality,2021-10,2026-04,Churned
M-0029,Harborne Bistro,Hospitality,2023-01,,Active
M-0030,Thistledown Kitchen,Hospitality,2024-08,,Active
M-0031,Westcliff Charters,Travel,2026-03,,Active
M-0032,Eastgate Marketplace,Online,2025-01,,Active
M-0033,Harborne Travel,Travel,2024-05,,Active
M-0034,Stanmore Home & Garden,Retail,2025-12,,Active
M-0035,Thistledown Goods,Online,2022-02,,Active
M-0036,Ashdown Stores,Retail,2024-07,2025-06,Churned
M-0037,Greystone Supplies,Retail,2024-06,,Active
M-0038,Cedarfield Kitchen,Hospitality,2026-04,,Active
M-0039,Harborne Digital,Online,2021-12,,Active
M-0040,Ashdown Training,Services,2021-10,,Active
M-0041,Greystone Training,Services,2025-12,,Active
M-0042,Eastgate Stores,Retail,2023-12,2025-04,Churned
M-0043,Wychwood Supplies,Retail,2023-01,,Active
M-0044,Cedarfield Direct,Online,2023-12,2025-02,Churned
M-0045,Norbury Marketplace,Online,2024-07,,Active
M-0046,Cedarfield Online,Online,2024-02,,Active
M-0047,Bluewater Consulting,Services,2021-06,,Active
M-0048,Redgrave Direct,Online,2021-08,,Active
M-0049,Redgrave Consulting,Services,2025-10,,Active
M-0050,Eastgate Online,Online,2025-07,,Active
M-0051,Kingfisher Commerce,Online,2025-08,,Active
M-0052,Ravensworth Clinics,Services,2026-02,,Active
M-0053,Longacre Supplies,Retail,2023-07,2025-02,Churned
M-0054,Brightwell Kitchen,Hospitality,2024-08,,Active
M-0055,Cedarfield Stores,Retail,2023-06,,Active
M-0056,Norbury Bistro,Hospitality,2024-11,,Active
M-0057,Fenwick Retail,Retail,2025-06,,Active
M-0058,Kingfisher Goods,Online,2023-02,2025-11,Churned
M-0059,Stanmore Trading,Retail,2022-01,,Active
